Тикер,Компания,Цена,Изменение %
Y,"+8,80%",18 730,21
S,"+8,03%",3 889,36
B,"+6,38%","13,298","10,04 K"
M,"+4,60%",455,57
VEON-RX,"+4,23%","32,00","37,1 K"
CHGZ,"+3,84%","92,0","34,37 K"
POSI,"+3,31%","2 045,8","284,88 K"
LEAS,"+2,80%","631,0","412,34 K"
RTGZ,"+2,79%",44 200,1
STSB,"+2,74%","3,185",194 K
NFAZ,"+2,71%","284,5","4,22 K"
VRSB,"+2,63%","449,0","42,55 K"
N,"+2,52%","232,00",107
KLSB,"+2,37%","22,01","68,4 K"
MRKV,"+2,30%","0,06225","387,04 M"
GAZA,"+2,26%",634,240
SAGO,"+2,25%","2,950",167 K
UNAC,"+2,22%","0,7150","125,26 M"
V,"+2,20%","1,2995","20,92 K"
T,"+1,99%","68,33","1,73 K"
EELT,"+1,96%","12,46","124,62 K"
KAZT,"+1,89%","441,2","3,22 K"
DATA,"+1,88%","121,62","493,4 K"
RUSI,"+1,86%","71,2","10,45 K"
RASP,"+1,77%","267,35","263,8 K"
KCHE,"+1,68%","0,545",370 K
RBCM,"+1,68%","12,430","2,99 M"
NKSH,"+1,60%","47,50","21,6 K"
MISB,"+1,60%","50,8","7,2 K"
FESH,"+1,59%","45,88","2,23 M"
KOGK,"+1,58%",38 600,1
LVHK,"+1,52%","33,30","3,9 K"
KZOS,"+1,48%","75,6","75,74 K"
TORS,"+1,39%","0,584",290 K
KMEZ,"+1,37%",1 186,76
BRZL,"+1,35%",1 802,965
MRKP,"+1,34%","0,3396","92,97 M"
KROT,"+1,33%",1 755,"1,23 K"
VGSB,"+1,21%","11,72",60 K
MOEX,"+1,17%","201,40","5,42 M"
DZRD,"+1,14%",4 000,44
URKZ,"+1,12%",27 100,1
MFGS,"+1,11%","365,0",110
UNKL,"+1,09%",5 540,503
KRSB,"+1,08%","13,06","9,4 K"
MSRS,"+1,06%","1,1470","7,14 M"
GTRK,"+1,01%","289,3","256,52 K"
TTLK,"+1,00%","0,6545","2,42 M"
PAZA,"+1,00%",8 100,35
ASTR,"+0,91%","506,40","822,91 K"
SVAV,"+0,80%","760,0","51,15 K"
SARE,"+0,72%","0,419",370 K
KMAZ,"+0,71%","112,8","159,14 K"
MRKK,"+0,70%","17,24","8,41 K"
SVET,"+0,58%","17,40","61,67 K"
LIFE,"+0,57%","3,525","3,06 M"
UKUZ,"+0,53%",1 138,28
KRKN,"+0,53%",9 550,2
IRKT,"+0,52%","28,80","5,91 M"
ARSA,"+0,51%","11,83","10,9 K"
RZSB,"+0,50%","27,88","11,9 K"
CBOM,"+0,50%","7,013","29,63 M"
MRSB,"+0,49%","0,820","1,7 M"
KBSB,"+0,48%","421,0","1,36 K"
APTK,"+0,45%","10,216","603,59 K"
MSTT,"+0,44%","158,90","67,56 K"
ABIO,"+0,38%","84,62","567,17 K"
MRKZ,"+0,37%","0,05445","43,9 M"
PLZL,"+0,36%","14 470,5","65,49 K"
INGR,"+0,36%",1 680,14
TGKA,"+0,36%","0,006734","740,9 M"
ROLO,"+0,32%","0,6240","29,75 M"
WTCM,"+0,30%","13,18","2,6 K"
MRKS,"+0,28%","0,5435","8,07 M"
ELMT,"+0,25%","0,15810","48,83 M"
AKRN,"+0,24%",16 920,301
GEMA,"+0,23%","133,20","1,84 K"
CHMK,"+0,19%",5 390,81
LKOH,"+0,18%","6 854,5","628,94 K"
VSMO,"+0,17%",23 440,259
IVAT,"+0,17%","205,60","17,85 K"
ZILL,"+0,17%",2 960,455
PMSB,"+0,17%","238,6","3,68 K"
LNZL,"+0,17%",12 080,197
DIAS,"+0,14%","4 501,5","4,49 K"
SLEN,"+0,14%","3,505","57,7 K"
NKNC,"+0,12%","81,60","12,62 K"
APRI,"+0,11%","10,614","2,54 K"
PHOR,"+0,11%",5 340,"58,4 K"
ABRD,"+0,11%","187,0","21,26 K"
ORUP,"+0,06%","1,582","105,83 K"
DVEC,"+0,04%","2,381","1,07 M"
SMLT,"+0,04%","1 337,0","1,08 M"
